Zipcode,Population,Median Age,Household Income,Per Capita Income
45353,214.0,48.8,42153.0,19637.0
45354,518.0,47.8,45938.0,25787.0
45356,25316.0,39.1,41163.0,21813.0
45358,373.0,35.9,60313.0,24250.0
45359,1802.0,40.0,48214.0,20984.0
45360,403.0,38.2,42188.0,20873.0
45361,326.0,34.0,45278.0,17729.0
45362,1399.0,34.0,49196.0,19416.0
45363,1867.0,32.3,68125.0,25513.0
45365,30341.0,40.6,48816.0,26533.0
45368,4605.0,42.2,46111.0,23714.0
45369,3674.0,39.5,52333.0,24901.0
45370,2512.0,46.3,78333.0,38652.0
45371,19525.0,43.2,67836.0,31722.0
45372,440.0,37.1,46875.0,21895.0
45373,35274.0,41.3,53184.0,27615.0
45377,15099.0,43.9,58864.0,29300.0
45378,335.0,30.0,49107.0,20653.0
45380,5208.0,39.5,58021.0,25949.0
45381,5454.0,42.7,46394.0,22398.0
45382,1347.0,34.8,52014.0,22122.0
45383,7462.0,40.5,51006.0,25098.0
45384,1847.0,19.9,70833.0,4612.0
45385,38196.0,42.1,48520.0,26919.0
45387,5224.0,51.0,70313.0,45624.0
45388,893.0,35.8,70156.0,28692.0
45389,564.0,41.5,44286.0,19289.0
45390,3262.0,39.0,34318.0,18070.0
45402,10101.0,36.1,19797.0,16189.0
45403,15934.0,32.7,25871.0,14594.0
45404,10119.0,35.5,25380.0,14281.0
45405,17848.0,37.7,24365.0,16171.0
45406,20211.0,42.8,28258.0,19123.0
45409,16027.0,20.8,47782.0,16817.0
45410,15539.0,34.6,31889.0,18276.0
45414,20429.0,41.9,40075.0,24318.0
45415,12684.0,46.4,50439.0,29240.0
45416,5905.0,43.6,33008.0,19263.0
45417,31228.0,36.1,22040.0,12886.0
45418,2014.0,36.9,58661.0,23075.0
45419,14453.0,40.2,66504.0,41751.0
45420,25157.0,37.5,36842.0,21942.0
45424,50467.0,37.2,54804.0,26347.0
45426,14992.0,43.0,35311.0,20297.0
45429,25465.0,45.4,56235.0,34978.0
45430,7472.0,43.9,77792.0,35522.0
45431,26961.0,33.4,56885.0,31798.0
45432,14706.0,43.1,56808.0,30398.0
45433,2751.0,23.4,92619.0,28717.0
45434,12105.0,43.9,103600.0,40840.0
45439,9905.0,34.1,41663.0,19747.0
45440,21367.0,40.6,63826.0,34806.0
45449,18281.0,38.7,40870.0,22457.0
45458,30700.0,42.6,73534.0,42418.0
45459,27775.0,48.9,66359.0,40804.0
45502,15982.0,46.4,66667.0,30528.0
45503,32585.0,42.1,43816.0,24496.0
45504,18447.0,37.3,47279.0,24664.0
45505,19934.0,38.2,27204.0,16149.0
